status	path	owners	hunks	changed_lines
M	.env.example	M1,M3,M5	14	196
M	.github/workflows/check.yml	M1	2	3
M	CHANGELOG.md	M1,M3	1	18
M	Dockerfile	M1	1	2
M	Makefile	M1	5	12
M	README.md	M1,M2,M3,M4,M5,M6,M7	29	316
M	docs/api.md	M1,M3,M4,M5,M7	12	77
M	docs/architecture.md	M1,M2,M3,M4,M5,M6,M7	20	957
A	docs/assertion-drift.md	M1,M3,M4,M6,M7	1	66
M	docs/configuration.md	M1,M2,M3,M4,M5,M6,M7	38	639
M	docs/cutover_mapping.md	M1,M2,M3,M4	7	30
A	docs/delivery.md	M3,M5,M6	1	60
M	docs/migration-v0.1-to-v0.2.md	M1,M3,M5,M6	19	127
A	docs/migration-v0.2-to-v0.3.md	M1,M2,M3,M4,M5	1	261
A	docs/model-agreement.md	M1,M3,M4	1	64
M	docs/operation.example.toml	M1,M2,M3,M4,M5,M6,M7	9	133
M	docs/parity_checklist.md	M1,M4,M5	3	15
M	pyproject.toml	M1	4	6
M	src/kodezart/adapters/_agents_mapping.py	M1	2	24
M	src/kodezart/adapters/_mcp_mapping.py	M1	12	143
M	src/kodezart/adapters/_permission_modes.py	M1	5	27
M	src/kodezart/adapters/_sdk_mapping.py	M1	4	36
M	src/kodezart/adapters/agent_content_scanner.py	M1	31	146
M	src/kodezart/adapters/asyncio_job_queue.py	M1	7	26
M	src/kodezart/adapters/claude_agent_executor.py	M1	10	27
M	src/kodezart/adapters/claude_client_executor.py	M1	11	27
M	src/kodezart/adapters/git_artifact_persister.py	M4	2	3
M	src/kodezart/adapters/git_change_persister.py	M4	2	6
M	src/kodezart/adapters/git_worktree_provider.py	M1	2	4
M	src/kodezart/adapters/github_api.py	M1,M3,M5	36	669
A	src/kodezart/adapters/github_types.py	M5	1	165
M	src/kodezart/adapters/hosted_mcp_session.py	M1	23	53
M	src/kodezart/adapters/http_mcp_tool_caller.py	M1	23	51
M	src/kodezart/adapters/in_repo_prompt_registry.py	M1	1	2
M	src/kodezart/adapters/langgraph_run_state_reader.py	M4	3	41
A	src/kodezart/adapters/linear_history_receipt.py	M1	1	65
A	src/kodezart/adapters/linear_issue_identity.py	M1	1	67
A	src/kodezart/adapters/linear_markers.py	M1	1	78
M	src/kodezart/adapters/linear_mcp_tracker.py	M1,M2,M3,M4,M5,M7	134	2943
R074	src/kodezart/adapters/linear_mcp_types.py	M1	23	137
M	src/kodezart/adapters/linear_record_sink.py	M4	8	63
A	src/kodezart/adapters/linear_references.py	M1	1	27
A	src/kodezart/adapters/linear_scope_reader.py	M1	1	416
A	src/kodezart/adapters/linear_scope_types.py	M1	1	78
M	src/kodezart/adapters/mcp_result_decoding.py	M1	3	6
M	src/kodezart/adapters/no_forge_delivery.py	M5	1	2
A	src/kodezart/adapters/notion_record_properties.py	M4	1	151
M	src/kodezart/adapters/notion_record_sink.py	M4	12	274
R052	src/kodezart/adapters/outbound_admission.py	M1	20	126
A	src/kodezart/adapters/pagination.py	M1	1	29
A	src/kodezart/adapters/record_failures.py	M4	1	42
A	src/kodezart/adapters/reference_content_scanner.py	M1	1	106
D	src/kodezart/adapters/regex_content_scanner.py	M1	1	69
M	src/kodezart/adapters/stdio_mcp_tool_caller.py	M1	9	19
A	src/kodezart/adapters/subprocess_check_chain.py	M5	1	144
M	src/kodezart/adapters/subprocess_git_service.py	M1	3	51
A	src/kodezart/adapters/subprocess_git_source_reader.py	M6	1	156
A	src/kodezart/api/dependencies.py	M1	1	58
M	src/kodezart/api/v1/endpoints/agent.py	M1,M3	18	100
M	src/kodezart/api/v1/endpoints/jobs.py	M1,M3	10	46
A	src/kodezart/chains/audit_detection_removal.py	M6	1	99
A	src/kodezart/chains/audit_evidence.py	M6	1	161
A	src/kodezart/chains/audit_forge.py	M6	1	175
A	src/kodezart/chains/audit_overclaim.py	M6	1	138
A	src/kodezart/chains/audit_pass.py	M6	1	362
A	src/kodezart/chains/audit_sweep.py	M6	1	451
A	src/kodezart/chains/authored_checks.py	M3,M5	1	116
A	src/kodezart/chains/authored_delivery.py	M3,M5	1	277
A	src/kodezart/chains/authored_publication.py	M3	1	347
A	src/kodezart/chains/criteria.py	M3	1	194
A	src/kodezart/chains/delivery_coordinator.py	M5	1	98
A	src/kodezart/chains/fire_consolidation.py	M3	1	233
A	src/kodezart/chains/fire_implementation.py	M3	1	324
A	src/kodezart/chains/fire_remediation.py	M3	1	167
A	src/kodezart/chains/fire_review.py	M3	1	216
A	src/kodezart/chains/fire_specification.py	M3	1	445
A	src/kodezart/chains/lane_delivery.py	M5	1	359
A	src/kodezart/chains/native_delivery.py	M5	1	164
A	src/kodezart/chains/organize.py	M2	1	142
A	src/kodezart/chains/organize_author.py	M2	1	101
M	src/kodezart/chains/ralph_loop.py	M3	29	114
M	src/kodezart/chains/ralph_workflow.py	M3	98	2013
M	src/kodezart/chains/remediation.py	M3	17	40
A	src/kodezart/chains/scope_walker.py	M3	1	173
M	src/kodezart/chains/ticket_generation.py	M2	8	13
A	src/kodezart/chains/write_back_verifier.py	M4	1	207
A	src/kodezart/composition/delivery.py	M5	1	55
M	src/kodezart/composition/engine.py	M1,M3,M5	27	199
M	src/kodezart/composition/forge.py	M5	5	39
M	src/kodezart/composition/gating.py	M1	13	104
M	src/kodezart/composition/jobs.py	M1	4	16
M	src/kodezart/composition/knowledge.py	M1	9	43
A	src/kodezart/composition/organize.py	M2	1	144
M	src/kodezart/composition/passes.py	M1,M2,M3,M5	37	138
M	src/kodezart/composition/preflight.py	M1	4	10
M	src/kodezart/composition/prompts.py	M1	4	12
M	src/kodezart/composition/records.py	M4	14	87
A	src/kodezart/composition/scope_runtime.py	M5	1	44
M	src/kodezart/composition/tracker.py	M1	25	175
M	src/kodezart/composition/workspace.py	M1	7	25
A	src/kodezart/core/agent_settings.py	M1	1	41
A	src/kodezart/core/backoff.py	M1	1	33
